id,name,city,tennis_courts,padel_courts,beach_courts,latitude,longitude
62060383,ASSA TENNIS,ANTIBES,3,0,0,43.599014,7.10364
62060287,ASTL ST CEZAIRE,ST CEZAIRE SUR SIAGNE,4,0,0,43.651985,6.793687
62830437,AT MONTAUROUX,MONTAUROUX,4,0,0,43.617897,6.771936
62830175,AT SAINT PAULOISE,ST PAUL EN FORET,3,0,0,43.56463,6.69795
62060444,AZUR TENNIS SPORTS VALROSE,NICE,3,2,0,43.71772,7.265223
62060454,CANNES TENNIS LACOUR,CANNES,7,0,0,43.54927,7.032461
62060124,CLUB TENNIS BASKET BALL,NICE,4,0,0,43.705475,7.252746
62060293,CMTVSA,VALBONNE,10,0,0,43.620472,7.045078
62830405,CSA 21° RIMA FREJUS - section,FREJUS,3,0,0,43.477806,6.718378
62060371,CSL CORNE OR,Villefranche sur Mer,2,0,0,43.705845,7.30392
62830034,GTC VALESCURE - section,SAINT RAPHAEL,10,0,0,43.451736,6.806893
62060459,HANDISPORT ANTIBES MEDITERRANEE,ANTIBES,2,1,0,43.59074,7.1186
62060418,LA RAQUETTE ROQUEFORTOISE,ROQUEFORT LES PINS,7,0,0,43.661472,7.035343
62068004,LA VILLA TENNIS CLUB,LE CANNET,2,0,0,43.563274,6.968321
62060449,MONTFLEURY CANNES TENNIS CLUB,CANNES,7,0,0,43.553738,7.03335
62060001,NICE  LAWN TENNIS CLUB,NICE,22,2,0,43.704556,7.252538
62830347,PADEL TENNIS CLUB DES ADRETS,LES ADRETS DE L'ESTEREL,2,2,0,43.529137,6.826979
62830130,SAINT RAPHAEL CC,ST RAPHAEL,24,0,0,43.433308,6.807242
62068002,SPORT ET LEISURE FRANCE,CHATEAUNEUF GRASSE,9,2,0,43.657257,6.975524
62060421,T POPULAIRE WEISWEILLER,ANTIBES,5,1,0,43.597633,7.085106
62060315,TC ACACIAS,CAGNES SUR MER,4,5,0,43.696804,7.158551
62060016,TC ANTIBES JUAN LES PINS,ANTIBES,17,1,0,43.59048,7.117095
62830340,TC BAGNOLS EN FORET,BAGNOLS EN FORET,2,0,0,43.53488,6.681202
62060238,TC BASTIDES DE GATTIERES,GATTIERES,4,0,0,43.7673,7.18538
62060305,TC CARROS,CARROS,4,2,0,43.76677,7.201972
62060436,TC CHATEAUNEUF,CHATEAUNEUF,4,0,0,43.6786,6.97284
62830412,TC D'AGAY,AGAY,4,1,0,43.43297,6.877199
62830318,TC DE FAYENCE,FAYENCE,4,0,0,43.623425,6.689287
62060274,TC GORBELLA,NICE,3,0,0,43.718204,7.256904
62060025,TC LA COLLE,LA COLLE SUR LOUP,5,0,0,43.68505,7.101266
62060407,TC LA ROSERAIE FONTMERLE,ANTIBES,3,0,0,43.581863,7.095361
62060207,TC MOUGINS,MOUGINS,8,2,0,43.590652,7.004231
62060002,TC MÉDITERRANEE,NICE,5,0,0,43.722466,7.25919
62060022,TC NICE GIORDAN,Nice,49,4,0,43.74541,7.187392
62060106,TC PEYMEINADE,PEYMEINADE,8,0,0,43.63833,6.873604
62830111,TC PUGETOIS,PUGET SUR ARGENS,4,2,0,43.45533,6.68408
62060303,TC ROQUETTAN,LA ROQUETTE SUR SIAGNE,4,4,0,43.58484,6.941669
62060271,TC TIGNET,LE TIGNET,5,1,0,43.632298,6.850025
62060419,TC VAL DE CAGNES,CAGNES SUR MER,3,0,0,43.68268,7.147717
62060243,TC VALLAURIS GOLFE JUAN,VALLAURIS,4,0,0,43.57206,7.0795
62060406,TC VESPINS,ST LAURENT DU VAR,4,0,2,43.6595,7.17987
62060100,TCM BIOT,BIOT,7,0,0,43.628147,7.101395
62060304,TCM CABRIS,CABRIS,4,0,0,43.65609,6.876883
62060296,TCM COLOMARS,COLOMARS,2,0,0,43.76603,7.222433
62830354,TCM DE CALLIAN,CALLIAN,3,0,0,43.629864,6.753793
62060144,TCM MOUANS SARTOUX,MOUANS SARTOUX,10,2,0,43.62626,6.954861
62060408,TCM OPIO,OPIO,4,0,0,43.660038,6.986985
62060350,TCM ST VALLIER DE THIEY,ST VALLIER DE THIEY,2,0,0,43.69852,6.847956
62060427,TCM VENCOIS,VENCE,8,3,0,43.706573,7.130392
62060270,TENNIS ALTITUDE 500 GRASSE,GRASSE,5,0,0,43.668457,6.922974
62060024,TENNIS ARENES DE CIMIEZ,NICE,5,0,0,43.71524,7.277517
62060441,TENNIS CLUB FIELDING,NICE,5,0,0,43.69412,7.236584
